File path;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
Z:\cpp-build-analyzer\src\AnalysisData\PCH\PCH.h;2080628500;2080628500;2080628500;0;1
Z:\cpp-build-analyzer\external_libraries\cxxopts\cxxopts.hpp;2008072800;2008072800;2008072800;0;1
Z:\cpp-build-analyzer\src\AnalysisExporter\PCH\PCH.h;1345494600;1345494600;1345494600;0;1
C:\Path\To\MSVC\include\iostream;948104200;948104200;948104200;0;1
Z:\cpp-build-analyzer\src\BuildAnalyzer\PCH\PCH.h;756691100;756691100;756691100;0;1
C:\Path\To\WindowsSDK\um\Windows.h;635602700;632748100;638457300;2854600;2
C:\Path\To\MSVC\include\istream;589410300;232918300;945902300;356492000;2
C:\Path\To\MSVC\include\ostream;570531200;206104100;934958300;364427100;2
C:\Path\To\MSVC\include\ios;554440450;186188800;922692100;368251650;2
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\document.h;504036200;504036200;504036200;0;1
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\reader.h;417612300;417612300;417612300;0;1
Z:\cpp-build-analyzer\src\BuildAnalyzer\BuildAnalyzer.h;380942400;304970800;456914000;75971600;2
C:\Path\To\MSVC\include\xlocnum;375294666;26126100;918492500;389285640;3
C:\Path\To\MSVC\include\regex;281342000;281342000;281342000;0;1
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\internal\strtod.h;267830800;267830800;267830800;0;1
C:\Path\To\MSVC\include\fstream;262206800;262206800;262206800;0;1
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\internal\biginteger.h;257281300;257281300;257281300;0;1
C:\Path\To\MSVC\include\xstring;238669325;74228200;387119500;122573273;4
C:\Path\To\MSVC\include\intrin.h;237050600;237050600;237050600;0;1
C:\Path\To\MSVC\include\streambuf;219228066;140107900;362339000;101383033;3
C:\Path\To\MSVC\include\xiosbase;210286800;131797600;352702300;100878311;3
C:\Path\To\MSVC\include\string;209823075;9929700;404964200;165850756;4
C:\Path\To\MSVC\include\chrono;196897075;62957300;594956200;229822887;4
C:\Path\To\MSVC\include\map;182944900;182944900;182944900;0;1
Z:\cpp-build-analyzer\src\BuildAnalyzer\Analyzers\BuildTimeline\BuildTimelineAnalyzer.h;182601133;106779600;324763200;100598251;3
C:\Path\To\MSVC\include\immintrin.h;181687300;181687300;181687300;0;1
Z:\cpp-build-analyzer\packages\Microsoft.Cpp.BuildInsights.1.0.0\build\native\inc\CppBuildInsights.hpp;179737533;167604000;200153400;14521561;3
Z:\cpp-build-analyzer\src\AnalysisData\BuildTimeline\BuildTimeline.h;144533983;73862000;239219800;65872382;6
C:\Path\To\MSVC\include\locale;141178100;56261800;226094400;84916300;2
C:\Path\To\MSVC\include\cmath;132860700;14509700;486616200;204241185;4
C:\Path\To\WindowsSDK\um\ole2.h;130112650;129894400;130330900;218250;2
C:\Path\To\WindowsSDK\um\objbase.h;112690000;108045600;117334400;4644400;2
C:\Path\To\MSVC\include\xmemory;110262900;84999600;131013500;20712805;4
Z:\cpp-build-analyzer\src\BuildAnalyzer\Analyzers\FunctionCompilations\FunctionCompilationsAnalyzer.h;110044566;54950500;217050200;75675562;3
C:\Path\To\MSVC\include\xtree;108306400;108306400;108306400;0;1
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\allocators.h;107210600;107210600;107210600;0;1
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\rapidjson.h;104901400;104901400;104901400;0;1
C:\Path\To\MSVC\include\xlocale;100413333;89191400;113768000;10146057;3
C:\Path\To\MSVC\include\system_error;97747000;20539300;251426300;108668090;3
C:\Path\To\WindowsSDK\shared\windef.h;96297750;82073900;110521600;14223850;2
C:\Path\To\WindowsSDK\shared\minwindef.h;94716600;80560600;108872600;14156000;2
C:\Path\To\WindowsSDK\um\winbase.h;94708650;90920700;98496600;3787950;2
C:\Path\To\MSVC\include\wmmintrin.h;91236700;91236700;91236700;0;1
C:\Path\To\MSVC\include\limits;89939450;10622200;326600100;136636413;4
C:\Path\To\WindowsSDK\um\winnt.h;89843900;76174300;103513500;13669600;2
C:\Path\To\MSVC\include\unordered_map;88009675;46900200;113287400;24864749;4
Z:\cpp-build-analyzer\src\AnalysisData\BuildTimeline\ProcessThreadRemapping\PackedProcessThreadRemapper.h;86315516;33273000;127512100;37659899;6
C:\Path\To\MSVC\include\xlocbuf;83012000;5846400;160177600;77165600;2
C:\Path\To\MSVC\include\stdexcept;82528633;4968500;236687500;109007486;3
C:\Path\To\MSVC\include\nmmintrin.h;81503600;81503600;81503600;0;1
C:\Path\To\MSVC\include\iosfwd;81090825;2711700;187416000;75297609;4
C:\Path\To\MSVC\include\xhash;77926950;36985900;103431500;24844949;4
Z:\cpp-build-analyzer\src\BuildAnalyzer\Analyzers\FileInclusions\FileInclusionsAnalyzer.h;72592766;16643500;144431800;53365568;3
C:\Path\To\MSVC\include\smmintrin.h;71652600;71652600;71652600;0;1
C:\Path\To\MSVC\include\tmmintrin.h;64031900;64031900;64031900;0;1
C:\Path\To\MSVC\include\cwchar;61878700;14627400;197064000;78061045;4
C:\Path\To\MSVC\include\vector;59067300;32117900;134226100;43439543;4
C:\Path\To\MSVC\include\cstdio;58518325;39709600;112714600;31301820;4
C:\Path\To\MSVC\include\zmmintrin.h;58107500;58107500;58107500;0;1
C:\Path\To\WindowsSDK\ucrt\stdio.h;57914425;39097700;112110500;31301966;4
C:\Path\To\WindowsSDK\um\winscard.h;57259700;56470200;58049200;789500;2
C:\Path\To\MSVC\include\pmmintrin.h;51655300;51655300;51655300;0;1
Z:\cpp-build-analyzer\src\AnalysisData\BuildTimeline\TimelineEntry.h;50702300;21525800;97417500;23779099;7
C:\Path\To\WindowsSDK\um\wincrypt.h;50311000;49148500;51473500;1162500;2
C:\Path\To\MSVC\include\xstddef;50141325;4821600;103153800;36939197;4
C:\Path\To\MSVC\include\type_traits;47860025;38693100;62680900;9232236;4
C:\Path\To\MSVC\include\xutility;44971350;43444900;46721100;1336672;4
Z:\cpp-build-analyzer\src\BuildAnalyzer\Analyzers\TemplateInstantiations\TemplateInstantiationsAnalyzer.h;44641366;16823100;99657400;38903034;3
C:\Path\To\MSVC\include\exception;43867900;17790800;58153100;15485094;4
Z:\cpp-build-analyzer\src\BuildAnalyzer\Analyzers\BuildTimeline\FilterTimelineAnalyzer.h;42122600;15225000;91439100;34919932;3
C:\Path\To\WindowsSDK\um\winuser.h;41540450;39070100;44010800;2470350;2
Z:\cpp-build-analyzer\src\AnalysisExporter\FileInclusions\FileInclusionGraphExporter.h;41392600;198200;82587000;41194400;2
C:\Path\To\WindowsSDK\um\urlmon.h;41181200;40625500;41736900;555700;2
C:\Path\To\MSVC\include\emmintrin.h;40641500;40641500;40641500;0;1
C:\Path\To\WindowsSDK\um\coml2api.h;39719050;38206200;41231900;1512850;2
C:\Path\To\WindowsSDK\ucrt\corecrt_wstdio.h;39048000;19752700;94006000;31745128;4
C:\Path\To\MSVC\include\cstdlib;37759100;17557600;94440400;32735950;4
C:\Path\To\WindowsSDK\um\winioctl.h;37347850;37338200;37357500;9650;2
C:\Path\To\MSVC\include\memory;36947900;35370700;37881800;970772;4
Z:\cpp-build-analyzer\src\BuildAnalyzer\Analyzers\FileCompilations\FileCompilationsAnalyzer.h;34699600;16505600;56575600;16564400;3
C:\Path\To\WindowsSDK\ucrt\wchar.h;32928175;13953900;83230600;29074040;4
C:\Path\To\MSVC\include\algorithm;32684533;31859800;33757200;794201;3
Z:\cpp-build-analyzer\src\AnalysisData\FileInclusionsPerFile.h;32478725;271000;73149300;26178327;4
C:\Path\To\MSVC\include\xlocmon;29769350;16824000;42714700;12945350;2
C:\Path\To\MSVC\include\new;29735575;215400;51887500;21498800;4
C:\Path\To\WindowsSDK\ucrt\math.h;29550250;8394300;84196200;31693165;4
C:\Path\To\WindowsSDK\ucrt\corecrt_math.h;29196900;8090100;83898200;31717579;4
C:\Path\To\MSVC\include\unordered_set;27864400;7174400;40884100;10498221;6
C:\Path\To\WindowsSDK\um\wingdi.h;27859550;27759000;27960100;100550;2
C:\Path\To\MSVC\include\xmmintrin.h;27696900;27696900;27696900;0;1
C:\Path\To\MSVC\include\ratio;26951575;5772200;89074800;35868187;4
C:\Path\To\WindowsSDK\um\combaseapi.h;26239250;19232600;33245900;7006650;2
C:\Path\To\WindowsSDK\um\DbgHelp.h;21987400;21987400;21987400;0;1
Z:\cpp-build-analyzer\src\AnalysisExporter\BuildTimeline\BuildTimelineExporter.h;21772800;292900;43252700;21479900;2
C:\Path\To\WindowsSDK\um\mmsystem.h;21563900;21474300;21653500;89600;2
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\prettywriter.h;21546900;21546900;21546900;0;1
C:\Path\To\MSVC\include\deque;20905666;20478400;21265500;324850;3
C:\Path\To\MSVC\include\list;20493725;18623900;22533000;1390295;4
C:\Path\To\WindowsSDK\um\objidl.h;19903550;19265700;20541400;637850;2
C:\Path\To\MSVC\include\xloctime;19124850;14564900;23684800;4559950;2
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\writer.h;18946400;18946400;18946400;0;1
C:\Path\To\WindowsSDK\shared\rpc.h;18812850;18699100;18926600;113750;2
C:\Path\To\WindowsSDK\um\propidlbase.h;18024900;17230200;18819600;794700;2
C:\Path\To\MSVC\include\tuple;17634450;17077300;18146100;378567;4
C:\Path\To\WindowsSDK\shared\winerror.h;17286050;15703100;18869000;1582950;2
C:\Path\To\WindowsSDK\um\winspool.h;16724750;16057600;17391900;667150;2
C:\Path\To\WindowsSDK\ucrt\sys\stat.h;15418150;1331300;57423600;24252071;4
C:\Path\To\WindowsSDK\um\oaidl.h;13808850;13239400;14378300;569450;2
C:\Path\To\WindowsSDK\shared\wtypes.h;13488800;12967300;14010300;521500;2
C:\Path\To\WindowsSDK\um\oleauto.h;13235700;9906800;16564600;3328900;2
C:\Path\To\MSVC\include\yvals_core.h;12903600;1250000;37252800;14224029;4
C:\Path\To\MSVC\include\vcruntime.h;12577175;4649200;35584800;13284544;4
C:\Path\To\MSVC\include\xtr1common;11800175;3161300;36972400;14533985;4
C:\Path\To\MSVC\include\cstddef;11745975;253000;38030900;15268753;4
C:\Path\To\WindowsSDK\um\objidlbase.h;11650900;11525100;11776700;125800;2
C:\Path\To\WindowsSDK\shared\rpcdce.h;11286350;11178600;11394100;107750;2
C:\Path\To\WindowsSDK\ucrt\string.h;10556900;5447400;12653400;2979647;4
C:\Path\To\WindowsSDK\ucrt\stdlib.h;10218400;9023100;13059800;1649019;4
C:\Path\To\MSVC\include\iterator;9921950;8901000;10942900;1020950;2
Z:\cpp-build-analyzer\src\AnalysisData\BuildTimeline\IgnoredEntries.h;9538250;177400;36125500;15360384;4
C:\Path\To\WindowsSDK\um\oleidl.h;9528400;9346900;9709900;181500;2
C:\Path\To\WindowsSDK\um\msxml.h;9240500;8993700;9487300;246800;2
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\encodings.h;9080700;9080700;9080700;0;1
C:\Path\To\MSVC\include\utility;9035475;8712500;9272700;205049;4
C:\Path\To\WindowsSDK\shared\rpcndr.h;8782000;8736900;8827100;45100;2
C:\Path\To\MSVC\include\yvals.h;8706575;5313700;11281000;2495261;4
C:\Path\To\MSVC\include\xlocinfo;8362866;6872800;9727500;1168796;3
C:\Path\To\WindowsSDK\um\mmeapi.h;7926350;7602900;8249800;323450;2
C:\Path\To\MSVC\include\cstring;7856200;273800;13121600;5150741;4
C:\Path\To\WindowsSDK\um\minidumpapiset.h;7597100;7597100;7597100;0;1
C:\Path\To\MSVC\include\codecvt;7314500;7314500;7314500;0;1
C:\Path\To\MSVC\include\sstream;7124900;7124900;7124900;0;1
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\encodedstream.h;6842900;6842900;6842900;0;1
C:\Path\To\WindowsSDK\um\winnls.h;6763925;1097200;14211300;5519188;4
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\internal\dtoa.h;6551900;6551900;6551900;0;1
C:\Path\To\WindowsSDK\um\wincon.h;6436950;6356100;6517800;80850;2
Z:\cpp-build-analyzer\src\AnalysisExporter\FileCompilations\FileCompilationsExporter.h;6139650;291100;11988200;5848550;2
C:\Path\To\MSVC\include\vadefs.h;5608575;751600;19686900;8128762;4
C:\Path\To\WindowsSDK\um\winsvc.h;5605050;5213200;5996900;391850;2
C:\Path\To\WindowsSDK\um\fileapifromapp.h;5521850;4777400;6266300;744450;2
C:\Path\To\WindowsSDK\shared\bcrypt.h;5363400;5184900;5541900;178500;2
C:\Path\To\WindowsSDK\um\shellapi.h;5308450;5126600;5490300;181850;2
C:\Path\To\WindowsSDK\ucrt\crtdbg.h;5300250;3719400;6611700;1160078;4
Z:\cpp-build-analyzer\src\AnalysisExporter\TemplateInstantiations\TemplateInstantiationsExporter.h;5248850;276400;10221300;4972450;2
Z:\cpp-build-analyzer\src\AnalysisData\FileCompilationDataPerFile.h;5230875;1110500;11863400;4113515;4
Z:\cpp-build-analyzer\src\AnalysisExporter\FileInclusions\FileInclusionTimesExporter.h;5210100;272600;10147600;4937500;2
C:\Path\To\WindowsSDK\um\winreg.h;4998000;4771800;5224200;226200;2
C:\Path\To\WindowsSDK\um\securitybaseapi.h;4679650;4411100;4948200;268550;2
C:\Path\To\WindowsSDK\um\commdlg.h;4536150;3825600;5246700;710550;2
C:\Path\To\WindowsSDK\um\fileapi.h;4503450;3966800;5040100;536650;2
C:\Path\To\WindowsSDK\ucrt\corecrt_wstring.h;4398050;4223500;4565300;152564;4
Z:\cpp-build-analyzer\src\AnalysisData\TimeElapsedPerOccurrencePerConcept.h;4165133;567100;12779800;3999376;6
Z:\cpp-build-analyzer\src\AnalysisData\BuildTimeline\ProcessThreadRemapping\ProcessThreadRemapping.h;4011266;310400;12667200;4280876;6
C:\Path\To\MSVC\include\cassert;3942436;443300;6983900;3087393;11
Z:\cpp-build-analyzer\packages\tencent.rapidjson.1.1.1\lib\native\include\rapidjson\internal\diyfp.h;3901600;3901600;3901600;0;1
C:\Path\To\WindowsSDK\um\processthreadsapi.h;3826250;3729400;3923100;96850;2
C:\Path\To\WindowsSDK\um\mciapi.h;3747250;3644900;3849600;102350;2
C:\Path\To\MSVC\include\vcruntime_exception.h;3744775;3374900;4409100;403952;4
